NAME,LATITUDE,LONGITUDE,DATE,AWND,WSF2,HurricaneName,COORD,City
"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",30.49529,-81.69374,8/14/2004,14.517481,44.514309999999995,charley,"(30.49529, -81.69374)",Jacksonville
"CRESTVIEW FAA AP, FL US",30.77715,-86.51938,8/13/2004,16.016204,29.0797,charley,"(30.77715, -86.51938)",
"MARIANNA MUNICIPAL AIRPORT, FL US",30.83696,-85.18352,8/13/2004,15.501717,29.0797,charley,"(30.83696, -85.18352)",
"PENSACOLA REGIONAL AIRPORT, FL US",30.47612,-87.18575,8/13/2004,22.011096,36.01409,charley,"(30.47612, -87.18575)",Pensacola
"NAPLES MUNICIPAL AIRPORT, FL US",26.15498,-81.77514,8/13/2004,20.512373,78.06781,charley,"(26.15498, -81.77514)",
"MARATHON AIRPORT, FL US",24.72624,-81.0477,8/13/2004,29.012593,62.633199999999995,charley,"(24.72624, -81.0477)",
"FORT PIERCE ST LUCIE CO INTERNATIONAL AIRPORT, FL US",27.49816,-80.37626,8/13/2004,25.523028999999998,53.461909999999996,charley,"(27.49816, -80.37626)",
"FORT MYERS SW FLORIDA REGIONAL AIRPORT, FL US",26.53805,-81.75674,8/13/2004,38.519417999999995,136.67459,charley,"(26.53805, -81.75674)",Fort Myers
"JACKSONVILLE CRAIG MUNICIPAL AIRPORT, FL US",30.33708,-81.51277,8/14/2004,12.012153,53.461909999999996,charley,"(30.33708, -81.51277)",Jacksonville
"PERRY FOLEY AIRPORT, FL US",30.07194,-83.57361,8/13/2004,9.998942999999999,31.54029,charley,"(30.07194, -83.57361)",
"PANAMA CITY BAY CO AIRPORT, FL US",30.21194,-85.68278,8/13/2004,24.516424,36.01409,charley,"(30.21194, -85.68278)",Panama City
"DAYTONA BEACH INTERNATIONAL AIRPORT, FL US",29.17351,-81.07185,8/13/2004,18.521531999999997,0.0,charley,"(29.17351, -81.07185)",Daytona Beach
"CROSS CITY AIRPORT, FL US",29.63333,-83.10528,8/13/2004,9.998942999999999,31.54029,charley,"(29.63333, -83.10528)",
"APALACHICOLA AIRPORT, FL US",29.72681,-85.02481,8/13/2004,15.501717,27.066489999999998,charley,"(29.72681, -85.02481)",
"MIAMI INTERNATIONAL AIRPORT, FL US",25.78805,-80.31694,8/13/2004,30.533685,67.107,charley,"(25.78805, -80.31694)",
"MELBOURNE INTERNATIONAL AIRPORT, FL US",28.09969,-80.6356,8/13/2004,31.025802999999996,74.04138999999999,charley,"(28.09969, -80.6356)",Melbourne
"KEY WEST INTERNATIONAL AIRPORT, FL US",24.55706,-81.75539,8/13/2004,43.530074,107.59488999999999,charley,"(24.55706, -81.75539)",
"FORT MYERS PAGE FIELD AIRPORT, FL US",26.58495,-81.86146,8/13/2004,35.521972,112.06869,charley,"(26.58495, -81.86146)",Fort Myers
"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",26.6851,-80.09918,8/13/2004,28.520474999999998,69.56759,charley,"(26.6851, -80.09918)",
